OBJECTID,globalid,nhfr_uid,nhfr_facility_code,country,iso,state,lga,lga_name_disagreement,ward,ward_name_disagreement,facility_name,facility_name_source,ownership,ownership_type,facility_level,facility_level_option,latitude,longitude,geocoordinates_source,last_updated,x,y
26,62e22dec-54ba-4dcd-8e27-1e79a8b6f8d9,32255587,08/21/1/3/1/0001,Nigeria,NGA,Borno,Maiduguri,0,Bolori 1,0,Maiduguri Federal Neuro Psychiatric Hospital,NHFR_2024,Public,Federal Government,Tertiary,Primary Health Center,11.8572033217,13.1365938582,GRID3_EHEALTH,2024-11-11,13.136593858,11.857203322
95,351f6e9c-2617-46c9-8831-de0c79316c2b,72495152,08/27/1/3/1/0001,Nigeria,NGA,Borno,Jere,0,Mairi (Jere),1,Maiduguri University Teaching Hospital,NHFR_2024,Public,Federal Government,Tertiary,Teaching/Tertiary Hospital,11.8263789997,13.1803229996,GRID3_EHEALTH,2024-11-11,13.180323,11.826379
345,9602ba12-18c5-4f71-bdfd-a827eef15307,69882045,29/27/1/3/1/0001,Nigeria,NGA,Osun,Olorunda,1,Orisunbare,1,Lautech Teaching Hospital,NHFR_2024,Public,State Government,Tertiary,Teaching/Tertiary Hospital,7.77785,4.55195,GRID3_EHEALTH,2024-11-11,4.55195000000003,7.77785000000006
1408,b7e0c458-1932-449f-a6ba-2a7f388e054b,18431884,20/21/1/3/2/0001,Nigeria,NGA,Katsina,Katsina,0,Yamma 2,0,Katsina Federal Medical Center,NHFR_2024,Public,Federal Government,Tertiary,Specialized Hospital,12.98658,7.576791,GRID3_EHEALTH,2024-11-11,7.57679100000007,12.9865800000001
1413,72068fb9-892c-4f1f-9449-77402acc3b5b,32297018,31/09/1/2/1/0002,Nigeria,NGA,Plateau,Langtang North,0,Zamko,0,Zamko Comprehensive Health Center,NHFR_2024,Public,Federal Government,Secondary,Teaching/Tertiary Hospital,9.004699707,9.849304199,GRID3_EHEALTH,2024-11-11,9.84930419900007,9.00469970700004
1472,e4256320-3139-41b1-a74c-bc8574fddfd8,59709134,31/05/1/3/2/0001,Nigeria,NGA,Plateau,Jos North,0,Jenta Adamu,1,Bingham University Teaching Hospital,NHFR_2024,Private,For Profit,Tertiary,Teaching/Tertiary Hospital,9.930426342,8.878167408,GRID3_EHEALTH,2024-11-11,8.87816740800002,9.93042634200003
1887,80fc6839-e13a-42ea-8802-97ec05ba6f2d,58767919,30/06/1/3/1/0001,Nigeria,NGA,Oyo,Ibadan North,0,Bodija,0,University College Hospital,NHFR_2024,Public,Federal Government,Tertiary,Teaching/Tertiary Hospital,7.402868333,3.902251667,GRID3_EHEALTH,2024-11-11,3.90225166700003,7.40286833300007
2048,fe73d2bf-a798-4bd3-a33f-976a5126571d,67174545,22/12/1/1/1/0045,Nigeria,NGA,Kogi,Lokoja,0,Lokoja A,0,Lokoja Federal Medical Center,NHFR_2024,Public,Unknown,Primary,Unknown,7.799316406,6.741088867,GRID3_EHEALTH,2024-11-11,6.74108886700003,7.79931640600006
2321,87d22620-5212-4c55-94c8-aff187eeb02c,66222827,37/06/1/3/1/0001,Nigeria,NGA,Fct,Abuja Municipal Area Council,0,Gwarimpa,0,Jabi Federal Medical Center,NHFR_2024,Public,Federal Government,Tertiary,Specialized Hospital,9.014514471,7.407894557,GRID3_EHEALTH,2024-11-11,7.40789455700008,9.01451447100004
2332,b7057566-4d8c-4519-a885-12d5c8d86656,71262151,06/08/1/2/1/0007,Nigeria,NGA,Bayelsa,Yenagoa,0,Gbaranu 2 8,0,Niger Delta University Teaching Hospital,NHFR_2024,Public,State Government,Tertiary,Teaching/Tertiary Hospital,5.03385042,6.31696109,GRID3_EHEALTH,2024-11-11,6.31696109000006,5.03385042000002
2565,74fd604b-1904-4463-ae46-d1044356f060,47049298,27/18/1/2/1/0002,Nigeria,NGA,Ogun,Sagamu,0,Ayegbami,0,Olabisi Onabanjo University Teaching Hospital,NHFR_2024,Public,Unknown,Secondary,Teaching/Tertiary Hospital,6.849113333,3.654455,GRID3_EHEALTH,2024-11-11,3.65445500000004,6.84911333300005
2638,f3de2a40-f046-43fc-9365-d35950480d5d,45611799,31/05/1/3/1/0002,Nigeria,NGA,Plateau,Jos North,0,Jenta Adamu,0,Plateau State Hospital Specialist,NHFR_2024,Public,State Government,Tertiary,Teaching/Tertiary Hospital,9.896681478,8.884156111,GRID3_EHEALTH,2024-11-11,8.88415611100004,9.89668147800006
